                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.2681,                0.93722,                 1.3862,                0.84972,                0.72222,                0.72919,                0.36775,                 1.9289,                 1.3706,                 2.0638,              0.0019099,              0.0019099,              0.0019099
                     94,                  1.332,                0.93658,                 1.3984,                 0.3204,                    0.5,                0.36876,                 0.1759,                 2.3444,                 2.1698,                 2.2053,              0.0019089,              0.0019089,              0.0019089
                     95,                 1.3216,                 1.0293,                 1.4487,                0.35274,                0.27778,                0.24997,                0.12926,                 2.3758,                 2.8236,                 2.1953,              0.0019079,              0.0019079,              0.0019079
                     96,                 1.2775,                0.99244,                 1.4142,                0.63033,                0.66667,                0.63603,                0.33485,                 1.9107,                  1.484,                 1.9963,              0.0019069,              0.0019069,              0.0019069
                     97,                 1.3331,                0.92647,                 1.4325,                0.63473,                0.61111,                0.60688,                0.29701,                 1.9538,                 1.5888,                 2.0232,               0.001906,               0.001906,               0.001906
                     98,                 1.2011,                0.86002,                 1.3802,                0.74721,                0.65737,                0.62313,                0.30705,                    1.8,                 1.5086,                 1.8168,               0.001905,               0.001905,               0.001905
                     99,                 1.1992,                0.89578,                 1.3504,                0.62396,                0.66667,                 0.6995,                0.33233,                 1.8108,                 1.3335,                 1.8661,               0.001904,               0.001904,               0.001904
                    100,                 1.1545,                0.87933,                 1.3061,                0.73591,                0.61971,                0.72682,                0.36751,                 1.8784,                 1.2157,                 2.0216,               0.001903,               0.001903,               0.001903
                    101,                 1.2284,                0.84342,                 1.3505,                0.70102,                0.61111,                0.66076,                0.36054,                 1.8448,                 1.1233,                 1.9984,               0.001902,               0.001902,               0.001902
                    102,                 1.1822,                0.84601,                 1.3056,                0.60696,                0.88889,                0.72844,                 0.3174,                 1.8801,                  1.119,                 2.0298,               0.001901,               0.001901,               0.001901
                    103,                 1.1361,                0.89314,                 1.2727,                0.56605,                0.83333,                0.66233,                0.28706,                 1.9601,                 1.2412,                 2.0081,                 0.0019,                 0.0019,                 0.0019
                    104,                 1.2336,                0.89289,                 1.3153,                0.71666,                0.38889,                0.48185,                0.22064,                 1.9238,                 1.8209,                 1.9191,               0.001899,               0.001899,               0.001899
                    105,                 1.1735,                0.93413,                 1.3118,                0.72952,                0.38889,                0.51785,                0.29095,                 1.9156,                   1.74,                 1.9593,               0.001898,               0.001898,               0.001898
                    106,                 1.1516,                0.84409,                 1.2926,                 0.5591,                0.44444,                0.43287,                0.21139,                 2.1627,                 1.9446,                  2.194,               0.001897,               0.001897,               0.001897
                    107,                 1.1673,                0.86376,                 1.2722,                0.32665,                0.44444,                0.32834,                0.17765,                 2.1665,                 2.1931,                  2.271,              0.0018961,              0.0018961,              0.0018961
                    108,                 1.1683,                0.86436,                 1.2862,                0.63295,                0.61111,                0.60439,                0.31326,                 1.8939,                 1.6481,                 2.0888,              0.0018951,              0.0018951,              0.0018951
                    109,                 1.2084,                0.89414,                 1.3564,                 0.5762,                0.66667,                 0.6034,                0.36195,                 1.7754,                  1.518,                 1.9636,              0.0018941,              0.0018941,              0.0018941
